阿Q	ĀQ
仇家	chóujiā
仇人	chóurén
仇杀	chóushā
仇视	chóushì
仇隙	chóuxì
仇怨	chóuyuàn
惆怅	chóuchàng
绸纹纸	chóuwénzhǐ
愁肠百结	chóuchángbǎijié
愁苦	chóukǔ
愁眉不展	chóuméibùzhān
愁眉苦脸	chóuméikǔliǎn
愁眉锁眼	chóuméisuǒyǎn
愁闷	chóumèn
愁绪	chóuxù
愁云惨雾	chóuyúncǎnwù
稠度	chóudù
稠密	chóumì
稠人广众	chóurénguǎngzhòng
稠人广座	chóurénguǎngzuò
筹办	chóubàn
筹备	chóubèi
筹备会	chóubèihuì
筹措	chóucuò
筹划	chóuhuà
筹集	chóují
筹建	chóujiàn
筹借	chóujiè
筹款	chóukuǎn
筹码	chóumǎ
筹算	chóusuàn
筹委会	chóuwěihuì
筹资	chóuzī
酬宾	chóubīn
酬答	chóudá
酬和	chóuhé
酬金	chóujīn
酬劳	chóuláo
酬谢	chóuxiè
酬应	chóuyīng
踌躇	chóuchú
踌躇不前	chóuchúbùqián
踌躇满志	chóuchúmǎnzhì
丑恶	chǒuè
丑化	chǒuhuà
丑角	chǒujué
丑陋	chǒulòu
丑态百出	chǒutàibǎichū
丑态毕露	chǒutàibìlù
丑闻	chǒuwén
丑行	chǒuxíng
瞅见	chǒujiàn
瞅着	chǒuzhe
臭不可闻	chòubùkěwén
臭虫	chòuchóng
臭椿	chòuchūn
臭豆腐	chòudòufu
臭烘烘	chòuhōnghōng
臭乎乎	chòuhūhū
臭老九	chòulǎojiǔ
臭骂	chòumà
臭美	chòuměi
臭名	chòumíng
臭名远扬	chòumíngyuǎnyáng
臭名昭彰	chòumíngzhāozhāng
臭名昭著	chòumíngzhāozhù
臭皮囊	chòupínáng
臭棋	chòuqí
臭气	chòuqì
臭气冲天	chòuqìchōngtiān
臭气熏天	chòuqìxūntiān
臭钱	chòuqián
臭味	chòuwèi
臭味相投	chòuwèixiāngtóu
臭腺	chòuxiàn
臭氧	chòuyǎng
臭氧层	chòuyǎngcéng
出版	chūbǎn
出版界	chūbǎnjiè
出版商	chūbǎnshāng
出版社	chūbǎnshè
出版署	chūbǎnshǔ
出版物	chūbǎnwù
出版业	chūbǎnyè
出奔	chūbēn
出兵	chūbīng
出材率	chūcáilǜ
出岔子	chūchàzi
出差	chūchāi
出差费	chūchāifèi
出产	chūchǎn
出厂	chūchǎng
出厂价	chūchǎngjià
出场	chūchǎng
出车	chūchē
出乘	chūchéng
出处	chūchù
出动	chūdòng
出尔反尔	chūěrfǎněr
出发	chūfā
出发地	chūfādì
出发点	chūfādiǎn
出访	chūfǎng
出风头	chūfēngtou
出钢	chūgāng
出格	chūgé
出工	chūgōng
出乖露丑	chūguāilùchǒu
出轨	chūguǐ
出国	chūguó
出海	chūhǎi
出汗	chūhàn
出号	chūhào
出乎	chūhū
出乎意料	chūhūyìliào
出击	chūjī
出价	chūjià
出将入相	chūjiàngrùxiàng
出境	chūjìng
出口	chūkǒu
出口成章	chūkǒuchéngzhāng
出口处	chūkǒuchù
出口创汇	chūkǒuchuànghuì
出口额	chūkǒu'é
出口贸易	chūkǒumàoyì
出口伤人	chūkǒushāngrén
出口商	chūkǒushāng
出口转内销	chūkǒuzhuǎnnèixiāo
出来	chūlái
出类拔萃	chūlèibácuì
出力	chūlì
出笼	chūlóng
出路	chūlù
出乱子	chūluànzi
出马	chūmǎ
出卖	chūmài
出没	chūmò
出门	chūmén
出面	chūmiàn
出苗率	chūmiáolǜ
出名	chūmíng
出谋划策	chūmóuhuàcè
出谋献策	chūmóuxiàncè
出纳	chūnà
出难题	chūnántí
出品	chūpǐn
出其不意	chūqíbùyì
出奇	chūqí
出奇制胜	chūqízhìshèng
出勤	chūqín
出勤率	chūqínlǜ
出去	chūqù
出让	chūràng
出人头地	chūréntóudì
出人意表	chūrényìbiǎo
出人意料	chūrényìliào
出任	chūrèn
出入	chūrù
出入境	chūrùjìng
出入口	chūrùkǒu
出塞	chūsāi
出丧	chūsàng
出色	chūsè
出身	chūshēn
出神入化	chūshénrùhuà
出生	chūshēng
出生率	chūshēnglǜ
出生入死	chūshēngrùsǐ
出师不利	chūshībùlì
出使	chūshǐ
出世	chūshì
出世作	chūshìzuò
出示	chūshì
出事	chūshì
出手	chūshǒu
出手不凡	chūshǒubùfán
出售	chūshòu
出数儿	chūshùér
出水芙蓉	chūshuǐfúróng
出水量	chūshuǐliàng
出台	chūtái
出逃	chūtáo
出挑	chūtiāo
出庭	chūtíng
出头	chūtóu
出头露面	chūtóulùmiàn
出头之日	chūtóuzhīrì
出土	chūtǔ
出土文物	chūtǔwénwù
出亡	chūwáng
出问题	chūwèntí
出席	chūxí
出现	chūxiàn
出线	chūxiàn
出行	chūxíng
出血	chūxuè
出血病	chūxuèbìng
出血点	chūxuèdiǎn
出血热	chūxuèrè
出芽生殖	chūyáshēngzhí
出言不逊	chūyánbùxùn
出言无状	chūyánwúzhuàng
出以公心	chūyǐgōngxīn
出于	chūyú
出院	chūyuàn
出战	chūzhàn
出诊	chūzhěn
出征	chūzhēng
出众	chūzhòng
出主意	chūzhǔyi
出资	chūzī
出自	chūzì
出走	chūzǒu
出租	chūzū
出租车	chūzūchē
出租汽车	chūzūqìchē
初步	chūbù
初出茅庐	chūchūmáolú
初创	chūchuàng
初春	chūchūn
初次	chūcì
初等	chūděng
初等教育	chūděngjiàoyù
初等数学	chūděngshùxué
初冬	chūdōng
初度	chūdù
初犯	chūfàn
初稿	chūgǎo
初会	chūhuì
初级	chūjí
初级线圈	chūjíxiànquān
初级职称	chūjízhíchēng
初级中学	chūjízhōngxué
初加工	chūjiāgōng
初见	chūjiàn
初见成效	chūjiànchéngxiào
初见端倪	chūjiànduānní
初具规模	chūjùguīmó
初露锋芒	chūlùfēngmáng
初露头角	chūlùtóujiǎo
初评	chūpíng
初期	chūqī
初秋	chūqiū
初赛	chūsài
初审	chūshěn
初生牛犊不怕虎	chūshēngniúdúbùpàhǔ
初始	chūshǐ
初试	chūshì
初速度	chūsùdù
初夏	chūxià
初选	chūxuǎn
初学	chūxué
初轧	chūzhá
初战	chūzhàn
初中	chūzhōng
初中生	chūzhōngshēng
初衷	chūzhōng
除暴安良	chúbàoānliáng
除草	chúcǎo
除颤器	chúchànqì
除尘	chúchén
除臭	chúchòu
除臭剂	chúchòujì
除此而外	chúcǐérwài
除此以外	chúcǐyǐwài
除此之外	chúcǐzhīwài
除恶务尽	chúèwùjìn
除非	chúfēi
除服	chúfú
除害	chúhài
除号	chúhào
除旧布新	chújiùbùxīn
除旧更新	chújiùgēngxīn
除开	chúkāi
除了	chúle
除名	chúmíng
除去	chúqù
除丧	chúsàng
除数	chúshù
除外	chúwài
除夕	chúxī
厨房	chúfáng
厨师	chúshī
滁县	chúxiàn
锄强扶弱	chúqiángfúruò
雏形	chúxíng
雏燕	chúyàn
橱窗	chúchuāng
橱柜	chúguì
杵臼之交	chǔjiùzhījiāo
础润而雨	chǔrùnéryǔ
储备	chǔbèi
储备粮	chǔbèiliáng
储藏	chǔcáng
储藏量	chǔcángliàng
储藏室	chǔcángshì
储存	chǔcún
储电量	chǔdiànliàng
储户	chǔhù
储金会	chǔjīnhuì
储量	chǔliàng
储量管理	chǔliàngguǎnlǐ
储蓄	chǔxù
储蓄额	chǔxùé
储蓄卡	chǔxùkǎ
储蓄率	chǔxùlǜ
储蓄所	chǔxùsuǒ
储蓄银行	chǔxùyínháng
储油罐	chǔyóuguàn
储油区	chǔyóuqū
楚霸王	chǔbàwáng
楚材晋用	chǔcáijìnyòng
楚楚可怜	chǔchǔkělián
楚怀王	chǔhuáiwáng
楚乐宫	chǔlègōng
处变不惊	chùbiànbùjīng
处长	chùzhǎng
处处	chùchù
处罚	chǔfá
处方	chǔfāng
处分	chǔfèn
处分权	chǔfènquán
处境	chǔjìng
处决	chǔjué
处理	chǔlǐ
处理机	chǔlǐjī
处理品	chǔlǐpǐn
处理器	chúlǐqì
处理者	chúlǐzhě
处女	chúnǚ
处女地	chúnǚdì
处女膜	chúnǚmó
处女作	chúnǚzuò
处身	chùshēn
处士	chǔshì
处世	chǔshì
处事	chǔshì
处暑	chúshǔ
处死	chúsǐ
处所	chùsuǒ
处所词	chùsuǒcí
处心积虑	chǔxīnjīlǜ
处刑	chǔxíng
处以	chǔyǐ
处于	chǔyú
处在	chǔzài
处之	chùzhī
处之泰然	chǔzhītàirán
处治	chǔzhì
处置	chǔzhì
处子	chǔzǐ
怵目惊心	chùmùjīngxīn
触发	chùfā
触发器	chùfāqì
触犯	chùfàn
触及	chùjí
触礁	chùjiāo
触角	chùjiǎo
触景生情	chùjǐngshēngqíng
触觉	chùjué
触类	chùlèi
触类旁通	chùlèipángtōng
触摸	chùmō
触目皆是	chùmùjiēshì
触目惊心	chùmùjīngxīn
矗立	chùlì
揣测	chuǎicè
揣度	chuǎiduó
揣摩	chuǎimó
啜泣	chuòqì
川红	chuānhóng
川流不息	chuānliúbùxī
穿刺术	chuāncìshù
穿过	chuānguò
穿好	chuānhǎo
穿甲弹	chuānjiǎdàn
穿街过巷	chuānjiēguòxiàng
穿孔卡片	chuānkǒngkǎpiàn
穿梭	chuānsuō
穿通	chuāntōng
穿行	chuānxíng
穿衣	chuānyī
穿衣镜	chuānyījìng
穿越	chuānyuè
穿云	chuānyún
穿云裂石	chuānyúnlièshí
穿云破雾	chuānyúnpòwù
穿凿附会	chuānzáofùhuì
穿针引线	chuānzhēnyǐnxiàn
穿着	chuānzhuó
传帮带	chuánbāngdài
传遍	chuánbiàn
传播	chuánbō
传播学	chuánbōxué
传布	chuánbù
传唱	chuánchàng
传抄	chuánchāo
传承	chuánchéng
传出	chuánchū
传出神经	chuánchūshénjīng
传达	chuándá
传达室	chuándáshì
传代	chuándài
传单	chuándān
传导	chuándǎo
传导电流	chuándǎodiànliú
传道	chuándào
传道士	chuándàoshi
传递	chuándì
传递性	chuándìxìng
传动	chuándòng
传动比	chuándòngbǐ
传动带	chuándòngdài
传动系统	chuándòngxìtǒng
传动轴	chuándòngzhóu
传动装置	chuándòngzhuāngzhì
传粉	chuánfěn
传感	chuángǎn
传感器	chuángǎnqì
传号	chuánhào
传呼	chuánhū
传呼电话	chuánhūdiànhuà
传呼机	chuánhūjī
传话	chuánhuà
传唤	chuánhuàn
传回	chuánhuí
传记	zhuànjì
传记片	zhuànjìpiàn
传家	chuánjiā
传家宝	chuánjiābǎo
传家之宝	chuánjiāzhībǎo
传教	chuánjiào
传教士	chuánjiàoshì
传戒	chuánjiè
传经	chuánjīng
传经送宝	chuánjīngsòngbǎo
传开	chuánkāi
传来	chuánlái
传令	chuánlìng
传流	chuánliú
传略	zhuànluè
传媒	chuánméi
传票	chuánpiào
传奇	chuánqí
传奇人物	chuánqírénwù
传奇式	chuánqíshì
传奇性	chuánqíxìng
传情	chuánqíng
传球	chuánqiú
传染	chuánrǎn
传染病	chuánrǎnbìng
传染病院	chuánrǎnbìngyuàn
传染性	chuánrǎnxìng
传染源	chuánrǎnyuán
传热	chuánrè
传热系数	chuánrèxìshù
传人	chuánrén
传入	chuánrù
传入神经	chuánrùshénjīng
传神	chuánshén
传声器	chuánshēngqì
传声筒	chuánshēngtǒng
传世	chuánshì
传授	chuánshòu
传输	chuánshū
传输线	chuánshūxiàn
传述	chuánshù
传说	chuánshuō
传诵	chuánsòng
传送	chuánsòng
传送带	chuánsòngdài
传颂	chuánsòng
传统	chuántǒng
传统上	chuántǒngshàng
传统式	chuántǒngshì
传统戏	chuántǒngxì
传统型	chuántǒngxíng
传闻	chuánwén
传习	chuánxí
传檄	chuánxí
传销	chuánxiāo
传销商	chuánxiāoshāng
传销员	chuánxiāoyuán
传信	chuánxìn
传讯	chuánxùn
传言	chuányán
传扬	chuányáng
传艺	chuányì
传阅	chuányuè
传真	chuánzhēn
传真电报	chuánzhēndiànbào
传真机	chuánzhēnjī
传旨	chuánzhǐ
传种	chuánzhǒng
传宗接代	chuánzōngjiēdài
船舶	chuánbó
船舱	chuáncāng
船长	chuánzhǎng
船厂	chuánchǎng
船到江心补漏迟	chuándàojiāngxīnbǔlòuchí
船底	chuándǐ
船队	chuánduì
船多不碍路	chuánduōbùàilù
船夫	chuánfū
船夫曲	chuánfūqǔ
船浆	chuánjiāng
船壳	chuánké
船老大	chuánlǎodà
船模	chuánmú
船票	chuánpiào
船期	chuánqī
船期表	chuánqībiǎo
船上	chuánshàng
船尾	chuánwěi
船员	chuányuán
船只	chuánzhī
喘息	chuǎnxī
串供	chuàngòng
串联	chuànlián
串亲戚	chuànqīnqi
串通	chuàntōng
串通一气	chuàntōngyīqì
串行	chuànxíng
疮疤	chuāngbā
疮痍满目	chuāngyímǎnmù
窗口	chuāngkǒu
窗明几净	chuāngmíngjījìng
窗扇	chuāngshàn
床边柜	chuángbiānguì
床单	chuángdān
床铺	chuángpù
床上戏	chuángshàngxì
床头柜	chuángtóuguì
床位	chuángwèi
创办	chuàngbàn
创办人	chuàngbànrén
创编	chuàngbiān
创出	chuàngchū
创痕	chuānghén
创汇	chuànghuì
创汇额	chuànghuìé
创汇率	chuànghuìlǜ
创获	chuànghuò
创记录	chuàngjìlù
创纪录	chuàngjìlù
创见	chuàngjiàn
创见性	chuàngjiànxìng
创建	chuàngjiàn
创举	chuàngjǔ
创巨痛深	chuāngjùtòngshēn
创刊	chuàngkān
创刊词	chuàngkāncí
创刊号	chuàngkānhào
创口	chuāngkǒu
创立	chuànglì
创利	chuànglì
创面	chuāngmiàn
创牌子	chuàngpáizi
创伤	chuāngshāng
创设	chuàngshè
创始	chuàngshǐ
创始国	chuàngshǐguó
创始人	chuàngshǐrén
创始者	chuàngshǐzhě
创世纪	chuàngshìjì
创收	chuàngshōu
创痛	chuāngtòng
创下	chuàngxià
创先	chuàngxiān
创新	chuàngxīn
创新纪录	chuàngxīnjìlù
创新型	chuàngxīnxíng
创新性	chuàngxīnxìng
创演	chuàngyǎn
创业	chuàngyè
创业史	chuàngyèshǐ
创业者	chuàngyèzhě
创意	chuàngyì
创优	chuàngyōu
创造	chuàngzào
创造力	chuàngzàolì
创造型	chuàngzàoxíng
创造性	chuàngzàoxìng
创造学	chuàngzàoxué
创造者	chuàngzàozhě
创制	chuàngzhì
创作	chuàngzuò
吹弹	chuītán
吹倒	chuīdǎo
吹风	chuīfēng
吹风会	chuīfēnghuì
吹干	chuīgān
吹号	chuīhào
吹灰之力	chuīhuīzhīlì
吹糠见米	chuīkāngjiànmǐ
吹毛求疵	chuīmáoqiúcī
吹牛	chuīniú
吹捧	chuīpěng
吹散	chuīsàn
吹嘘	chuīxū
吹皱一池春水	chuīzhòuyīchíchūnshuǐ
吹奏乐	chuīzòuyuè
炊具	chuījù
垂度	chuídù
垂帘听政	chuíliántīngzhèng
垂落	chuíluò
垂暮之年	chuímùzhīnián
垂手而得	chuíshǒukědé
垂手可得	chuíshǒukědé
垂死挣扎	chuísǐzhēngzhá
垂头丧气	chuítóusàngqì
垂危	chuíwēi
垂尾	chuíwěi
垂涎三尺	chuíxiánsānchǐ
垂涎欲滴	chuíxiányùdī
垂直	chuízhí
捶胸顿足	chuíxiōngdùnzú
锤骨	chuígǔ
锤炼	chuíliàn
春播	chūnbō
春播作物	chūnbōzuòwù
春蚕	chūncán
春大麦	chūndàmài
春分	chūnfēn
春分点	chūnfēndiǎn
春风	chūnfēng
春风得意	chūnfēngdéyì
春风化雨	chūnfēnghuàyǔ
春风满面	chūnfēngmǎnmiàn
春风一度	chūnfēngyīdù
春耕	chūngēng
春灌	chūnguàn
春光	chūnguāng
春光明媚	chūnguāngmíngmèi
春寒料峭	chūnhánliàoqiào
春旱	chūnhàn
春花	chūnhuā
春花作物	chūnhuāzuòwù
春华秋实	chūnhuáqiūshí
春季	chūnjì
春假	chūnjiǎ
春节	chūnjié
春卷	chūnjuǎn
春兰秋菊	chūnlánqiūjú
春雷	chūnléi
春联	chūnlián
春暖花开	chūnnuǎnhuākāi
春秋	chūnqiū
春秋笔法	chūnqiūbǐfá
春秋鼎盛	chūnqiūdǐngshèng
春色	chūnsè
春色满园	chūnsèmǎnyuán
春树暮云	chūnshùmùyún
春笋	chūnsǔn
春天	chūntiān
春夏秋冬	chūnxiàqiūdōng
春小麦	chūnxiǎomài
春汛	chūnxùn
春意	chūnyì
春意盎然	chūnyìàngrán
春蚓秋蛇	chūnyǐnqiūshé
春游	chūnyóu
春雨	chūnyǔ
春运	chūnyùn
春种	chūnzhǒng
春装	chūnzhuāng
纯粹	chúncuì
纯度	chúndù
纯钢	chúngāng
纯碱	chúnjiǎn
纯洁	chúnjié
纯金	chúnjīn
纯净	chúnjìng
纯净度	chúnjìngdù
纯利	chúnlì
纯利润	chúnlìrùn
纯朴	chúnpǔ
纯色	chúnsè
纯收入	chúnshōurù
纯熟	chúnshú
纯小数	chúnxiǎoshù
纯真	chúnzhēn
纯正	chúnzhèng
纯种	chúnzhǒng
纯属	chúnshǔ
唇齿	chúnchǐ
唇齿相依	chúnchǐxiāngyī
唇膏	chúngāo
唇红齿白	chúnhóngchǐbái
唇焦舌敝	chúnjiāoshébì
唇裂	chúnliè
唇枪	chúnqiāng
唇枪舌剑	chúnqiāngshéjiàn
唇舌	chúnshé
唇亡齿寒	chúnwángchǐhán
淳朴	chúnpǔ
鹑衣	chúnyī
鹑衣百结	chúnyībǎijié
醇和	chúnhé
醇解	chúnjiě
蠢蠢欲动	chǔnchǔnyùdòng
蠢事	chǔnshì
戳穿	chuōchuān
戳脊梁骨	chuōjǐliɑnggǔ
绰绰有余	chuòchuòyǒuyú
绰号	chuòhào
绰有余裕	chuòyǒuyúyù
绰约	chuòyuē
绰约多姿	chuòyuēduōzī
辍学	chuòxué
词典	cídiǎn
词调	cídiào
词干	cígān
词汇	cíhuì
词句	cíjù
词曲	cíqǔ
词数	císhù
词尾	cíwěi
词语	cíyǔ
词组	cízǔ
茨欣瓦利	cíxīnwǎlì
瓷器	cíqì
慈爱	cíài
慈父	cífù
慈和	cíhé
慈眉善目	címéishànmù
慈善	císhàn
慈祥	cíxiáng
辞别	cíbié
辞呈	cíchéng
辞典	cídiǎn
辞旧迎新	cíjiùyíngxīn
辞去	cíqù
辞色	císè
辞书	císhū
辞退	cítuì
辞行	cíxíng
辞职	cízhí
磁暴	cíbào
磁场	cíchǎng
磁场强度	cíchǎngqiángdù
磁带	cídài
磁导率	cídǎolǜ
磁放大器	cífàngdàqì
磁感应	cígǎnyìng
磁钢	cígāng
磁合金	cíhéjīn
磁卡	cíkǎ
磁卡式	cíkǎshì
磁力	cílì
磁盘	cípán
磁盘操作系统	cípáncāozuòxìtǒng
磁泡	cípào
磁偏角	cípiānjiǎo
磁强计	cíqiángjì
磁倾角	cíqīngjiǎo
磁石	císhí
磁体	cítǐ
磁铁	cítiě
磁通	cítōng
磁通量	cítōngliàng
磁效应	cíxiàoyīng
磁性	cíxìng
雌性	cíxìng
雌雄	cíxióng
此处	cǐchù
此次	cǐcì
此地无银三百两	cǐdìwúyínsānbǎiliǎng
此伏彼起	cǐfúbǐqǐ
此后	cǐhòu
此呼彼应	cǐhūbǐyīng
此间	cǐjiān
此刻	cǐkè
此路不通	cǐlùbùtōng
此起彼伏	cǐqǐbǐfú
此起彼落	cǐqǐbǐluò
此时	cǐshí
此外	cǐwài
此行	cǐxíng
此致	cǐzhì
次长	cìzhǎng
次大陆	cìdàlù
次级线圈	cìjíxiànquān
次品	cìpǐn
次日	cìrì
次数	cìshù
次序	cìxù
次要	cìyào
次于	cìyú
次之	cìzhī
次重音	cìzhòngyīn
刺柏	cìbǎi
刺参	cìcān
刺刺不休	cìcìbùxiū
刺耳	cìěr
刺骨	cìgǔ
刺激	cìjī
刺激性	cìjīxìng
刺激作用	cìjīzuòyòng
刺溜	cīliū
刺绣	cìxiù
赐教	cìjiào
从不	cóngbù
从长	cóngcháng
从长计议	cóngchángjìyì
从此	cóngcǐ
从此以后	cóngcǐyǐhòu
从而	cóngér
从古到今	cónggǔdàojīn
从简	cóngjiǎn
从谏如流	cóngjiànrúliú
从教	cóngjiāo
从今	cóngjīn
从井救人	cóngjǐngjiùrén
从句	cóngjù
从宽	cóngkuān
从来	cónglái
从没	cóngméi
从命	cóngmìng
从那之后	cóngnàzhīhòu
从难从严	cóngnáncóngyán
从前	cóngqián
从容	cóngróng
从容不迫	cóngróngbùpò
从容就义	cóngróngjiùyì
从善如流	cóngshànrúliú
从上到下	cóngshàngdàoxià
从师	cóngshī
从实际出发	cóngshíjìchūfā
从事	cóngshì
从速	cóngsù
从天而降	cóngtiānérjiàng
从头	cóngtóu
从头到尾	cóngtóudàowěi
从头至尾	cóngtóuzhìwěi
从未	cóngwèi
从无	cóngwú
从无到有	cóngwúdàoyǒu
从小	cóngxiǎo
从心所欲	cóngxīnsuǒyù
从新	cóngxīn
从严	cóngyán
从业人员	cóngyèrényuán
从一而终	cóngyīérzhōng
从早到晚	cóngzǎodàowǎn
从政	cóngzhèng
从中作梗	cóngzhōngzuògěng
从属	cóngshǔ
匆匆	cōngcōng
匆匆忙忙	cōngcōngmángmáng
匆忙	cōngmáng
葱绿	cōnglǜ
聪明	cōngmíng
聪明才智	cōngmíngcáizhì
聪明伶俐	cōngmínglínglì
聪明一世	cōngmíngyīshì
丛林	cónglín
丛书	cóngshū
凑和	còuhé
凑巧	còuqiǎo
凑数	còushù
粗暴	cūbào
粗糙	cūcāo
粗茶淡饭	cūchádànfàn
粗大	cūdà
粗读	cūdú
粗犷	cūguǎng
粗花呢	cūhuāne
粗拉	cūlā
粗率	cūshuài
粗略	cūluè
粗浅	cūqiǎn
粗沙	cūshā
粗声大气	cūshēngdàqì
粗通	cūtōng
粗纤维	cūxiānwéi
粗线条	cūxiàntiáo
粗心	cūxīn
粗心大意	cūxīndàyì
粗哑	cūyǎ
粗枝大叶	cūzhīdàyè
粗制滥造	cūzhìlànzào
粗中有细	cūzhōngyǒuxì
粗重	cūzhòng
粗壮	cūzhuàng
促成	cùchéng
促进	cùjìn
促进会	cùjìnhuì
促进派	cùjìnpài
促生产	cùshēngchǎn
促使	cùshǐ
促膝谈心	cùxītánxīn
促销	cùxiāo
猝不及防	cùbùjífáng
猝倒	cùdǎo
猝然	cùrán
醋劲	cùjìn
醋劲儿	cùjìnér
醋酸	cùsuān
醋酸纤维	cùsuānxiānwéi
簇新	cùxīn
簇拥	cùyōng
撺弄	cuānnòng
蹿房越脊	cuānfángyuèjí
篡改	cuàngǎi
催办	cuībàn
催促	cuīcù
催发	cuīfā
催化	cuīhuà
催化剂	cuīhuàjì
催化裂化	cuīhuàlièhuà
催化重整	cuīhuàchóngzhěng
催化作用	cuīhuàzuòyòng
催泪弹	cuīlèidàn
催泪瓦斯	cuīlèiwǎsī
催眠曲	cuīmiánqǔ
催眠术	cuīmiánshù
催迫	cuīpò
催人奋进	cuīrénfènjìn
催人泪下	cuīrénlèixià
催熟	cuīshú
催吐剂	cuītǔjì
摧残	cuīcán
摧毁	cuīhuǐ
摧枯拉朽	cuīkūlāxiǔ
摧眉折腰	cuīméizhéyāo
摧折	cuīzhé
脆骨	cuìgǔ
脆弱	cuìruò
淬火	cuìhuǒ
翠柏	cuìbǎi
翠绿	cuìlǜ
翠绿色	cuìlǜsè
村长	cūnzhǎng
村夫	cūnfū
村夫俗子	cūnfūsúzǐ
村干部	cūngànbù
村规民约	cūnguīmínyuē
村落	cūnluò
村民	cūnmín
村民委员会	cūnmínwěiyuánhuì
村舍	cūnshě
村委会	cūnwěihuì
村镇	cūnzhèn
村庄	cūnzhuāng
村子	cūnzǐ
皴裂	cūnliè
存查	cúnchá
存车	cúnchē
存车处	cúnchēchù
存储	cúnchǔ
存储单元	cúnchǔdānyuán
存储器	cúnchǔqì
存储容量	cúnchǔróngliàng
存单	cúndān
存档	cúndàng
存底	cúndǐ
存而不论	cúnérbùlùn
存放	cúnfàng
存放处	cúnfàngchù
存根	cúngēn
存活率	cúnhuólǜ
存货	cúnhuò
存款	cúnkuǎn
存款单	cúnkuǎndān
存款额	cúnkuǎné
存栏	cúnlán
存量	cúnliàng
存取	cúnqǔ
存入	cúnrù
存食	cúnshí
存亡	cúnwáng
存亡绝续	cúnwángjuéxù
存亡未卜	cúnwángwèibǔ
存在	cúnzài
存折	cúnzhé
忖度	cǔnduó
忖量	cǔnliàng
寸步不离	cùnbùbùlí
寸步不让	cùnbùbùràng
寸步难行	cùnbùnánxíng
寸步难移	cùnbùnányí
寸草不留	cùncǎobùliú
寸草不生	cùncǎobùshēng
寸草春晖	cùncǎochūnhuī
寸金难买寸光阴	cùnjīnnánmǎicùnguāngyīn
寸木岑楼	cùnmùcénlóu
寸土必争	cùntǔbìzhēng
寸土不让	cùntǔbùràng
寸有所长	cùnyǒusuǒcháng
搓手顿脚	cuōshǒudùnjiǎo
搓手顿足	cuōshǒudùnzú
搓洗	cuōxǐ
磋商	cuōshāng
撮合	cuōhe
撮弄	cuōnòng
撮要	cuōyào
蹉跎	cuōtuó
蹉跎岁月	cuōtuósuìyuè
厝火积薪	cuòhuǒjīxīn
挫败	cuòbài
挫伤	cuòshāng
挫折	cuòzhé
措词	cuòcí
措辞	cuòcí
措大	cuòdà
措施	cuòshī
措手不及	cuòshǒubùjí
措置得当	cuòzhìdédàng
措置失当	cuòzhìshīdàng
措置裕如	cuòzhìyùrú
错案	cuòàn
错别字	cuòbiézì
错彩镂金	cuòcǎilòujīn
错车	cuòchē
错待	cuòdài
错过	cuòguò
错划	cuòhuá
错觉	cuòjué
错乱	cuòluàn
错落	cuòluò
错落有致	cuòluòyǒuzhì
错失	cuòshī
错事	cuòshì
错位	cuòwèi
错误	cuòwù
错误率	cuòwùlǜ
错字	cuòzì
错综复杂	cuòzōngfùzá
搭便车	dābiànchē
搭车	dāchē
搭乘	dāchéng
搭错车	dācuòchē
搭挡	dādǎng
搭盖	dāgài
搭拉	dālā
搭配	dāpèi
搭载	dāzài
达标	dábiāo
达标率	dábiāolǜ
达成	dáchéng
达到	dádào
达尔维那	dáěrwéinà
达观	dáguān
达官贵人	dáguānguìrén
达荷美	dáhéměi
达赫拉	dáhèlā
达卡	dákǎ
达拉河	dálāhé
达拉斯	dálāsī
达姆弹	dámǔdàn
达人知命	dárénzhīmìng
达沙古兹	dáshāgǔzī
达瓦纳吉	dáwǎnàjí
达斡尔	dáwòěr
答案	dá'àn
答辨	dábiàn
答辩	dábiàn
答茬	dāchá
答词	dácí
答道	dádào
答对	dáduì
答非所问	dáfēisuǒwèn
答复	dáfù
答话	dáhuà
答卷	dájuàn
答礼	dálǐ
答理	dāli
答腔	dāqiāng
答数	dáshù
答题	dátí
答问	dáwèn
答谢	dáxiè
答疑	dáyí
答允	dáyǔn
打靶场	dábáchǎng
打败	dǎbài
打抱不平	dǎbàobùpíng
打草惊蛇	dǎcǎojīngshé
打颤	dǎzhàn
打场子	dǎchángzi
打成一片	dǎchéngyīpiàn
打冲锋	dǎchōngfēng
打弹子	dǎdànzǐ
打倒	dǎdǎo
打得火热	dǎdehuǒrè
打的	dǎde/dǎdī
打底	dǎdǐ
打底子	dǎdǐzi
打电报	dǎdiànbào
打电话	dǎdiànhuà
打掉	dǎdiào
打斗	dǎdòu
打断	dǎduàn
打法	dǎfǎ
打分	dǎfēn
打更	dǎgēng
打躬作揖	dǎgōngzuōyī
打谷场	dǎgǔchǎng
打鼓儿的	dágǔérde
打哈哈	dǎhāhɑ
打哈欠	dǎhāqiɑn
打横	dǎhéng
打晃	dǎhuǎng
打火石	dǎhuǒshí
打击	dǎjī
打击报复	dǎjībàofù
打击乐	dǎjīlè
打击乐器	dǎjīyuèqì
打基础	dǎjīchǔ
打家劫舍	dǎjiājiéshè
打架	dǎjià
打架斗殴	dǎjiàdòuōu
打假	dǎjiǎ
打浆	dǎjiāng
打浆机	dǎjiāngjī
